	Title	Description	Genre(s)	Director(s)	Cast
0	Esaretin Bedeli	Esaretin Bedeli, Andy ve Red isimli iki mahkumun parmaklıklar ardında kurdukları dünyanın hikayesini anlatıyor. Andy Dufresne, genç ve başarılı bir bankerdir. Karısını ve karısının sevgilisini öldürmek suçundan yargılanır ve ömür boyu hapis cezası alır. Shawsank Hapishanesi'nde dayak, işkence, tecavüz, her türlü durum yaşanmaktadır fakat Andy gene de hayata bağlı ve iyimserdir. Bu tutumu etrafındakileri de etkiler. Andy umutlu bakış açısıyla çevresindeki tüm mahkumları, parmaklıklar arkasında bile özgür bir yaşam olabileceğine inandırır. Andy'nin bu çabalarına ortak olacak bir arkadaşı da olacaktır: Red.Bir Stephen King uyarlaması olan filmde Morgan Freeman ve Tim Robbins başrolde. Film, 1995'te, aralarında en iyi film adaylığı da olmak üzere tam 7 dalda Oscar'a aday gösterildi.	['Dram']	['Frank Darabont']	['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']
1	Hababam Sınıfı	Öğrencilik hayatları haylazlık ve tembellik üzerine kurulu olan bir sınıf dolusu matrak öğrencinin, Özel Çamlıca Lisesi’nde yaşadığı yer yer eğlenceli, yer yer de dokunaklı öyküleri anlatan film, Hababam Sınıfı serisinin ilk filmidir. Keskin zekaları sayesinde tüm öğretmenlerini avuçlarında oynatıp okul düzeni ve eğitim sistemini alaşağı eden bu birbirinden renkli karakterdeki öğrenciler hem okulun hem de sinemamızın en yaramaz sınıfı olma özelliğinde. Ancak bu hükümdarlık okula atanan yeni müdür muavinin gelişiyle sarsıldığında, Hababam Sınıfı daha önce hiç karşılaşmadığı türden bir disiplin anlayışına ve zekaya sahip olan Mahmut Hoca tarafından unutulmaz derslere tabi tutulur.Hababam Sınıfı serisinin ilk filmi olan bu yapıt Rıfat Ilgaz'ın ölümsüz eseri Hababam Sınıfı romanından uyarlanmıştı.	['Dramatik komedi']	['Ertem Eğilmez']	['Münir Özkul', 'Tarık Akan', 'Adile Naşit']
2	Baba	Baba, 40’lar ve 50’lerin Amerika’sında, bir İtalyan mafya ailesinin destansı öyküsünü konu alıyor. Don Corleone’nin kızı Connie’nin düğününde, ailenin en küçük oğlu ve bir savaş gazisi olan Michael babasıyla barışır. Bir suikast girişimi, Don’u artık işleri yönetemeyecek duruma düşürünce, ailenin başına Michael ve ağabeyi Sonny geçer. Danışmanları Tom Hagen’in de yardımlarıyla diğer ailelere savaş açan Corleone ailesi, eski moda yöntemleri de değiştirmeye başlar.Mario Puzo’nun çok satan kitabından Puzo ve yönetmen Francis Ford Coppola tarafından sinemaya uyarlanan film o yıl En İyi Film, En İyi Erkek Oyuncu ve En İyi Uyarlama Senaryo dallarında Oscar kazanmıştır. Yapılan araştırmalar sonucu Türkiye'de en fazla izlenen ve satılan film olma özelliği de taşır.	['Polisiye', 'Dram']	['Francis Ford Coppola']	['Marlon Brando', 'Al Pacino', 'James Caan']
3	Eşkıya	Eşkiya, hapse düşmesine neden olan arkadaşının peşine düşen bir adamın hikayesini anlatıyor. 35 yıl önce Cudi dağlarında bir grup eşkiya yakalandı ve hapse atıldı. Yıllar içinde kimi hastalıktan, kimi hesaplaşma sonucu öldü. Biri hariç... 35 yıl sonra Hapisten çıkınca Baran’ ın ilk işi köyüne dönmek olur. Yıllar önce hapse girmesine en yakın arkadaşının sebep olduğunu öğrenir. Bu en yakın arkadaşı onun çocukluk aşkını alarak İstanbul’ a gitmiştir. Baran da onu bulmak üzere İstanbul’un yolunu tutar.Yavuz Turgul'un senaryosunu yazıp yönetmenliğini üstlendiği Türkiye sinemasının unutulmaz filmlerinden Eşkıya'nın başrollerinde Şener Şen, Uğur Yücel, Şermin Hürmeriç ve Yeşim Salkım bulunuyor.	['Dram']	['Yavuz Turgul']	['Şener Şen', 'Uğur Yücel', 'Yeşim Salkım']
4	Cesuryürek	Cesuryürek'te, William Wallace yaşanan büyük acılar sonrası yeniden memleketi olan İskoçya’ya döner. Onun asıl amacı çiftçilik yaparak sakin bir hayat sürmektir. Çocukluk aşkıyla karşılaştığında bunun onu dipsiz bir uçuruma iteceğinin farkında değildir. Bir gün İngiliz askerleri, William’ın çocukluk aşkı olan Murron’a tecavüz etmeye çabalarlar. William, onu kurtarır; ancak bu Murron’un ölümüne ve bir dönemin değişimine sebebiyet verecektir.Mel Gibson’un ünlü İskoç halk kahramanı William Wallace’ı hem canlandırdığı hem de yönettiği filmi kısa sürede bir fenomene dönüşmüştü.	['Biyografik', 'Dram']	['Mel Gibson']	['Mel Gibson', 'Sophie Marceau', 'Catherine McCormack']
5	Yüzüklerin Efendisi: Kralın Dönüşü	Yüzüklerin Efendisi: Kralın Dönüşü, Tek Yüzük'ün yok edilmesi için verilen mücadeleyi konu ediyor. Sauron'un orduları büyüdükçe büyümektedirler. Frodo ve onun can dostu Sam, korku dolu bir yolculuğun göbeğinde, korkunç Mordor'a adım adım yaklaşmaktadırlar. Tek yüzük yok edilmelidir ve iyilik bunun için savaşmaya hazırdır. Arka planda ise insan, elf ve cüce orduları, karanlık güçlerin karşısında tüm eski düşmanlıklarına rağmen bir araya gelmişlerdir. Hepsi birden küçücük bir Hobbit'in eline ve onun yeteneklerine bakmaktadırlar. Orta Dünya'nın kaderi belli olmak üzeredir. Ancak Tek Yüzük'ü sahiplenmek, kimi zaman taşıyanına daha cazip gelebilir.	['Fantastik', 'Macera']	['Peter Jackson']	['Sean Astin', 'Elijah Wood', 'Viggo Mortensen']
6	Hababam Sınıfı Sınıfta Kaldı	Özel Çamlıca Lisesi’nin en ‘özel’ sınıfı olan Hababam Sınıfı’nın haşarı öğrencileri ‘sahte diplomalar’ yüzünden sınıfta kalmışlardır. Artık lise yaş haddinin son demlerine gelen öğrencilerin arasından Ferit’in bir çocuğu olmuştur. Ferit çocuğuna nasıl bakacağını bilemediği için çocuğu mecburen okula getirmiştir. Mahmut Hoca’nın sürekli olarak ağlayan bu bebeğin varlığını fark etmesi ise yalnızca an meselesidir.Ertem Eğilmez’in 1975 yapım yılına sahip filminin oyuncu kadrosunda Kemal Sunal, Münir Özkul, Tarık Akan, Halit Akçatepe ve Şener Şen gibi isimler bulunuyor.	['Komedi', 'Dram']	['Ertem Eğilmez']	['Münir Özkul', 'Kemal Sunal', 'Şener Şen']
7	Yeşil Yol	Yeşil Yol, bir hapishane görevlisi ile bir mahkumun öyküsünü anlatıyor. Paul Edgecomb'un hapishanedeki görevi, idama mahkum edilen mahkumları son yolculuklarına uğurlamaktır. Çalıştığı yıllar içerisinde yüzlerce mahkumu idam etmiştir. Bir gün John Coffey isimli korkutucu görünümlü bir adamla tanışır. Ancak Coffey'in bu ürkütücü görünümünün altında oldukça saf bir ruh yatmaktadır. Coffey, iki küçük kız çocuğunun katil davasında yargılanmaktadır. Coffey'in günden güne gün yüzüne çıkan dünya ötesi güçleri, karakteri hakkında yeni ipuçlarını anbean ortaya çıkaracaktır.	['Fantastik', 'Polisiye']	['Frank Darabont']	['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']
8	Geleceğe Dönüş	Geleceğe Dönüş'te, deli dolu bilimadamı Dr. Brown zamanda yolculuğu mümkün kılan bir araba geliştirir. Bu makineyi ilk kullanan genç Marty ufak bir zamanlama yanlışıyla gelecek yerine geçmişe gönderilir. Otuz yıl öncesine dönen Marty’nin burada yaptığı bir hamle, kendi kaderini ilginç bir noktaya sürükleyebilecek bir hataya sebebiyet verir. Artık Marty’nin yapması gereken tek şey kendi doğumunu bile engelleyecek bu hatayı bir şekilde düzeltmeye çalışmak olacaktır.Zamanda yolculuk temalı filmlerin atalarından olan ‘Geleceğe Dönüş’ hem yönetmeni Robert Zemeckis’in hem de dönem sinemasının şahlandığı anlardan biridir. Gösterime girdiği dönem insanlığını bir hayli heyecanlandıran ve kısa bir süre sonra kült mertebesine erişmiş, o güne kadar hep tv dizilerinde yer alan başrol oyuncusu Michael J. Fox'a da büyük ün getirmiştir.	['Bilimkurgu', 'Macera', 'Komedi']	['Robert Zemeckis']	['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']
9	Forrest Gump	Forrest Gump, düşük I.Q. sahibi genç bir adamdır. Jenny ile tanıştığında ona aşık olur. Gump aralarında Elvis Presley, Kennedy, Nixon’ın da olduğu tarihsel kişilerle kaza eseri tanışır ve 50’lerden 70’lerin sonuna kadar gelen bir süre zarfında olaylar gelişir. Gump tamamen tesadüf olarak Vietnam savaşına ve Amerikan yakın tarihinin önemli olaylarına şahitlik eder ve hatta rol alır. Ancak bilmeden yaptıklarının ne kadar önemli sonuçları olduğundan da haberi yoktur.	['Romantik', 'Dram', 'Komedi']	['Robert Zemeckis']	['Tom Hanks', 'Gary Sinise', 'Robin Wright']
